"plot_id","field_season_id","site_id","block","treatment_id"
1,1,1,1,3
2,1,1,1,4
3,1,1,1,5
4,1,1,1,6
5,1,1,1,1
6,1,1,1,2
7,1,1,2,3
8,1,1,2,4
9,1,1,2,5
10,1,1,2,6
11,1,1,2,1
12,1,1,2,2
13,1,1,3,3
14,1,1,3,4
15,1,1,3,5
16,1,1,3,6
17,1,1,3,1
18,1,1,3,2
19,1,1,4,3
20,1,1,4,4
21,1,1,4,5
22,1,1,4,6
23,1,1,4,1
24,1,1,4,2
25,1,1,5,3
26,1,1,5,4
27,1,1,5,5
28,1,1,5,6
29,1,1,5,1
30,1,1,5,2
31,1,1,6,3
32,1,1,6,4
33,1,1,6,5
34,1,1,6,6
35,1,1,6,1
36,1,1,6,2
37,1,1,7,3
38,1,1,7,4
39,1,1,7,5
40,1,1,7,6
41,1,1,7,1
42,1,1,7,2
43,1,1,8,3
44,1,1,8,4
45,1,1,8,5
46,1,1,8,6
47,1,1,8,1
48,1,1,8,2
49,1,1,9,3
50,1,1,9,4
51,1,1,9,5
52,1,1,9,6
53,1,1,9,1
54,1,1,9,2
55,1,1,10,3
56,1,1,10,4
57,1,1,10,5
58,1,1,10,6
59,1,1,10,1
60,1,1,10,2
