Plot.ID,Treatment,Vumy.mass.perindivid,Acal.mass.perindivid,Mil.mass.perindivid,Waac.mass.perindivid,Block,Block.Xcoord,Block.Ycoord,meancanopy.NWE,t1.nitrate,t1.phosphorus,t1.potassium
10.N.1.C,Control,0.03,NA,NA,0.02045,10,0,23,18.18666667,10,4,98
10.N.1.L,Litter,0.017733333,NA,0.0308,0.1073,10,1,23,24.77333333,6,5,84
10.N.2.C,Control,0.0675,NA,0.1806,0.1721,10,1,21,26.85333333,8,7,91
10.N.2.L,Litter,0.079,NA,0.01965,0.0456,10,0,21,32.74666667,7,13,85
10.N.3.C,Control,0.18,1.5156,0.0097,0.1066,10,0,19,42.10666667,8,7,104
10.N.3.L,Litter,NA,1.68,NA,NA,10,1,19,45.57333333,7,6,107
10.N.4.C,Control,0.05,NA,0.012057143,NA,10,1,15,77.12,23,14,133
10.N.4.L,Litter,NA,NA,0.03523125,0.177866667,10,0,15,80.24,8,7,102
10.N.5.C,Control,NA,NA,0.016370968,NA,10,0,14,78.85333333,7,7,74
10.N.5.L,Litter,NA,NA,0.0209,NA,10,1,14,77.46666667,31,22,137
10.S.1.C,Control,NA,NA,NA,0.187328571,10,1,0,20.26666667,4,3,85
10.S.1.L,Litter,0.014333333,NA,NA,2.4377,10,0,0,18.18666667,9,4,75
10.S.2.C,Control,0.0103,NA,NA,0.057733333,10,0,2,28.58666667,1,2,67
10.S.2.L,Litter,0.0075,NA,NA,0.315766667,10,1,2,29.62666667,2,3,151
10.S.3.C,Control,NA,NA,NA,0.122425,10,1,4,43.49333333,5,6,121
10.S.3.L,Litter,NA,NA,NA,0.2989,10,0,4,41.06666667,4,7,148
10.S.4.C,Control,NA,NA,0.012344444,NA,10,1,7,64.29333333,4,8,94
10.S.4.L,Litter,NA,NA,0.0117,NA,10,0,7,58.4,4,6,87
10.S.5.C,Control,NA,NA,0.025879167,0.0799,10,1,8,77.81333333,7,5,63
10.S.5.L,Litter,NA,NA,0.0419,NA,10,0,8,69.49333333,6,10,113
11.N.1.C,Control,NA,0.4074,NA,NA,11,0,27.1,26.85333333,6,4,74
11.N.1.L,Litter,NA,0.6899,0.01655,NA,11,1,27.1,15.41333333,7,4,107
11.N.2.C,Control,NA,NA,NA,NA,11,1,25.6,22,7,4,54
11.N.2.L,Litter,NA,1.077,0.0185,0.0732,11,0,25.6,18.53333333,6,4,94
11.N.3.C,Control,NA,NA,0.0255375,NA,11,0,23.5,22.34666667,13,6,83
11.N.3.L,Litter,NA,NA,0.048557143,NA,11,1,23.5,16.8,16,6,73
11.N.4.C,Control,0.071533333,NA,0.016515152,0.0139,11,1,18.8,55.28,4,9,98
11.N.4.L,Litter,NA,1.71,0.046682609,0.1261,11,0,18.8,69.84,27,11,132
11.N.5.C,Control,NA,NA,0.047272727,NA,11,0,16.7,79.54666667,8,11,87
11.N.5.L,Litter,NA,NA,0.046197059,NA,11,1,16.7,78.85333333,5,7,81
11.S.1.C,Control,0.045789474,NA,0.0203,0.037,11,0,0,5.706666667,3,4,36
11.S.1.L,Litter,0.077058824,NA,0.0123,0.0184,11,1,0,2.933333333,3,3,77
11.S.2.C,Control,0.121153846,0.0675,0.0427875,0.03215,11,1,2,6.053333333,3,3,68
11.S.2.L,Litter,NA,0.158275,NA,0.1058,11,0,2,7.786666667,4,3,75
11.S.3.C,Control,0.1,NA,0.0156,0.12716,11,0,3.2,11.6,2,4,69
11.S.3.L,Litter,0.035384615,NA,0.0116,0.06564,11,1,3.2,9.52,2,3,76
11.S.4.C,Control,NA,NA,0.0571,NA,11,1,7.9,45.22666667,5,6,60
11.S.4.L,Litter,NA,0.0538,0.022678571,NA,11,0,7.9,41.06666667,6,7,122
11.S.5.C,Control,NA,NA,NA,NA,11,0,9.9,50.42666667,2,4,64
11.S.5.L,Litter,NA,NA,0.1113,NA,11,1,9.9,69.84,13,13,80
13.N.1.C,Control,NA,1.21475,NA,0.438666667,13,1,14.9,0.16,5,2,61
13.N.1.L,Litter,0.01335,0.3275,NA,0.181818182,13,0,14.9,0.16,8,2,66
13.N.2.C,Control,0.151666667,3.27,NA,0.174221053,13,0,13.4,0.16,8,3,54
13.N.2.L,Litter,NA,NA,NA,0.3046125,13,1,13.4,0.16,3,2,65
13.N.3.C,Control,0.086,0.8972,NA,1.223172727,13,1,11.9,0.853333333,7,4,77
13.N.3.L,Litter,NA,0.5679,NA,0.376875,13,0,11.9,0.16,7,4,96
13.N.4.C,Control,NA,NA,NA,NA,13,0,10.4,5.013333333,4,2,76
13.N.4.L,Litter,0.067066667,NA,NA,0.7197,13,1,10.4,9.52,6,3,58
13.N.5.C,Control,NA,NA,NA,NA,13,1,8,NA,NA,NA,NA
13.N.5.L,Litter,0.735,6.25,NA,NA,13,0,8,71.57333333,4,2,109
13.S.1.C,Control,NA,NA,NA,0.4506,13,0,0,2.24,1,3,50
13.S.1.L,Litter,0.420475,NA,NA,0.261028571,13,1,0,2.24,9,5,63
13.S.2.C,Control,0.0142,NA,NA,0.297328571,13,1,1.5,6.4,1,2,51
13.S.2.L,Litter,NA,NA,NA,0.393577778,13,0,1.5,6.4,2,2,64
13.S.3.C,Control,0.019322222,NA,NA,0.204241667,13,0,3,18.18666667,1,2,50
13.S.3.L,Litter,NA,NA,NA,0.686825,13,1,3,18.18666667,3,2,72
13.S.4.C,Control,NA,0.464,NA,0.75135,13,1,4.5,61.17333333,1,2,84
13.S.4.L,Litter,NA,NA,NA,0.46,13,0,4.5,67.76,4,2,55
13.S.5.C,Control,0.041833333,5.24,NA,0.2143,13,0,6.2,60.82666667,1,3,70
13.S.5.L,Litter,0.105,11.418,NA,0.518466667,13,1,6.2,91.33333333,6,4,90
14.N.1.C,Control,0.02506,NA,0.08755,NA,14,1,26,16.45333333,4,3,50
14.N.1.L,Litter,NA,NA,0.072066667,NA,14,0,26,12.98666667,1,3,55
14.N.2.C,Control,NA,NA,0.08645,0.297875,14,0,24,7.44,2,4,47
14.N.2.L,Litter,0.03926,NA,0.06575,0.0761,14,1,24,24.08,1,3,73
14.N.3.C,Control,NA,NA,0.187266667,NA,14,1,22,25.81333333,4,7,51
14.N.3.L,Litter,NA,0.1784,0.049391667,NA,14,0,22,23.73333333,5,6,83
14.N.4.C,Control,NA,NA,NA,NA,14,0,17,40.02666667,95,10,105
14.N.4.L,Litter,0.0204,NA,0.0136,NA,14,1,17,43.49333333,11,6,132
14.N.5.C,Control,NA,NA,0.04765,NA,14,1,15,70.18666667,4,7,82
14.N.5.L,Litter,NA,NA,0.1581,NA,14,0,15,62.21333333,13,10,113
14.S.1.C,Control,NA,NA,NA,NA,14,1,0,NA,NA,NA,NA
14.S.1.L,Litter,0.052105263,NA,NA,1.1871,14,0,0,1.546666667,3,2,101
14.S.2.C,Control,NA,NA,NA,NA,14,1,2,5.36,3,3,61
14.S.2.L,Litter,0.09,NA,NA,NA,14,0,2,5.013333333,5,3,79
14.S.3.C,Control,0.035,NA,NA,0.290033333,14,1,4,10.90666667,4,4,87
14.S.3.L,Litter,0.035454545,NA,NA,0.191,14,0,4,9.866666667,5,3,91
14.S.4.C,Control,0.0234625,NA,NA,0.187333333,14,1,7.5,37.25333333,3,2,72
14.S.4.L,Litter,NA,NA,NA,0.1079,14,0,7.5,41.06666667,6,4,89
14.S.5.C,Control,0.0062,NA,NA,NA,14,1,11,71.92,2,3,49
14.S.5.L,Litter,NA,NA,NA,NA,14,0,11,71.92,5,5,62
15.N.1.C,Control,NA,NA,NA,0.8402,15,1,21,7.093333333,4,4,44
15.N.1.L,Litter,NA,NA,NA,0.0941,15,0,21,11.25333333,3,2,66
15.N.2.C,Control,NA,NA,NA,0.4259,15,0,19,22.69333333,3,2,59
15.N.2.L,Litter,NA,NA,NA,NA,15,1,19,19.22666667,3,3,66
15.N.3.C,Control,NA,NA,NA,0.0664,15,1,17,35.52,27,6,74
15.N.3.L,Litter,NA,NA,NA,0.0599,15,0,17,36.21333333,2,2,95
15.N.4.C,Control,NA,NA,NA,NA,15,0,15,51.81333333,2,3,72
15.N.4.L,Litter,NA,NA,NA,NA,15,1,15,46.61333333,2,3,82
15.N.5.C,Control,NA,NA,NA,NA,15,1,13,80.58666667,10,21,277
15.N.5.L,Litter,NA,NA,NA,NA,15,0,13,80.93333333,4,8,88
15.S.1.C,Control,NA,NA,NA,0.0189,15,0,0,71.22666667,4,4,102
15.S.1.L,Litter,NA,NA,NA,0.0883,15,1,0,32.74666667,4,3,84
15.S.2.C,Control,NA,NA,NA,0.0079,15,1,2,51.81333333,2,2,59
15.S.2.L,Litter,0.021833333,NA,NA,0.0185,15,0,2,50.77333333,4,3,93
15.S.3.C,Control,NA,NA,NA,0.51515,15,0,4,65.33333333,33,15,142
15.S.3.L,Litter,NA,NA,NA,NA,15,1,4,62.56,2,3,128
15.S.4.C,Control,NA,NA,NA,0.106666667,15,1,6,82.32,6,4,76
15.S.4.L,Litter,NA,NA,NA,NA,15,0,6,83.70666667,19,6,101
15.S.5.C,Control,NA,NA,NA,NA,15,0,8,85.44,11,14,120
15.S.5.L,Litter,NA,NA,NA,NA,15,1,8,87.52,9,12,128
16.N.1.C,Control,NA,2.193333333,NA,NA,16,0,18,0.16,15,7,81
16.N.1.L,Litter,NA,3.976666667,NA,NA,16,1,18,0.16,11,7,150
16.N.2.C,Control,0.069,6.95,NA,NA,16,1,16,NA,NA,NA,NA
16.N.2.L,Litter,NA,NA,NA,NA,16,0,16,0.16,13,6,92
16.N.3.C,Control,0.08,0.943333333,NA,NA,16,0,14,0.16,10,4,58
16.N.3.L,Litter,0.046225,1.728181818,NA,0.3707,16,1,14,0.16,7,5,85
16.N.4.C,Control,0.1056625,1.715,NA,NA,16,1,12,32.05333333,2,3,48
16.N.4.L,Litter,NA,1.4125,NA,NA,16,0,12,35.52,5,4,85
16.N.5.C,Control,NA,1.163,NA,3.2947,16,0,10,93.06666667,3,6,110
16.N.5.L,Litter,0.046733333,4.126,NA,NA,16,1,10,92.37333333,9,5,102
16.S.1.C,Control,0.038222222,NA,NA,0.4673,16,1,0,0.16,4,4,95
16.S.1.L,Litter,0.085686275,NA,NA,0.225675,16,0,0,0.16,8,3,74
16.S.2.C,Control,0.1212,NA,NA,0.0911,16,0,2,0.853333333,6,5,57
16.S.2.L,Litter,0.058181818,NA,NA,NA,16,1,2,0.853333333,5,4,81
16.S.3.C,Control,0.053333333,NA,NA,0.0564,16,1,4,61.52,4,3,63
16.S.3.L,Litter,0.108,NA,NA,NA,16,0,4,25.12,2,3,85
16.S.4.C,Control,NA,NA,NA,NA,16,0,6,93.41333333,1,5,70
16.S.4.L,Litter,0.19125,0.3334,NA,NA,16,1,6,96.53333333,2,4,122
16.S.5.C,Control,0.0605,NA,NA,NA,16,1,8,89.94666667,2,3,182
16.S.5.L,Litter,NA,NA,NA,NA,16,0,8,86.13333333,8,5,113
