family_id,family
1,compositae
2,poaceae
3,crassulaceae
4,amaranthaceae
5,portulacaceae
6,geraniaceae
7,juncaceae
8,goodeniaceae
9,araliaceae
10,boryaceae
11,xanthorrhoeaceae
12,brassicaceae
13,plantaginaceae
14,caryophyllaceae
15,leguminosae
16,colchicaceae
17,pteridaceae
18,asparagaceae
19,apocynaceae
20,juncaginaceae
21,zygophyllaceae
22,aizoaceae
23,apiaceae
24,haloragaceae
25,scrophulariaceae
26,boraginaceae
27,malvaceae
28,loganiaceae
29,orobanchaceae
30,euphorbiaceae
31,campanulaceae
32,iridaceae
33,cyperaceae
34,celastraceae
35,orchidaceae
36,phyllanthaceae
37,solanaceae
38,centrolepidaceae
39,primulaceae
40,oxalidaceae
41,thymelaeaceae
42,droseraceae
43,stylidiaceae
44,urticaceae
45,santalaceae
46,ophioglossaceae
47,polygonaceae
48,proteaceae
49,dilleniaceae
